date,value,bet,margin,gender,repeated_from
2017-12-08,16620,20000,2000,M,2017-10-13
2017-12-11,14990,18000,1500,F,
2017-12-12,26080,24500,1000,F,
2017-12-13,21560,21000,2500,F,
2017-12-15,18910,17000,500,M,2017-10-12
2017-12-18,16800,15500,1000,F,
2017-12-19,23840,17000,1500,M,
2017-12-20,9860,8000,2000,F,
2017-12-21,10140,10000,1000,U,
2017-12-26,12070,11000,2000,U,
2017-12-27,17110,16000,2000,U,
2017-12-28,9900,8500,1500,U,
2017-12-29,9360,8500,1000,U,
2018-01-02,9150,8800,2500,U,
2018-01-03,25680,22000,1500,M,2017-12-04
2018-01-05,15470,14000,2000,M,
2018-01-08,16820,17500,500,M,
2018-01-09,20290,16500,1500,M,
2018-01-10,15620,16000,2000,F,
2018-01-11,17620,16500,1500,M,2017-11-23
2018-01-12,15490,14000,500,F,
2018-01-15,12220,11500,2000,M,
2018-01-16,19630,17500,500,M,
2018-01-17,19440,21000,1000,F,
2018-01-18,19740,21000,1500,F,2017-11-27
2018-01-19,22680,23000,1000,M,
2018-01-22,12710,10500,500,M,
2018-01-23,18590,21000,1000,F,
2018-01-24,21410,22500,2000,M,
2018-01-25,15660,15500,2500,M,2017-12-06
2018-01-26,25050,22000,1000,F,
2018-01-29,22550,19500,1000,F,
2018-01-30,13730,13000,1500,F,
2018-01-31,15360,17000,1000,F,
2018-02-01,21560,21000,2500,F,2017-12-13
2018-02-02,18430,17000,500,F,
2018-02-05,16800,15500,1000,F,2017-12-18
2018-02-06,25260,21000,1500,F,
2018-02-07,23300,22500,500,M,
2018-02-08,16970,20000,2000,M,
2018-02-12,9930,9000,500,F,
2018-02-13,24020,19500,1000,F,
2018-02-15,9860,8000,2000,F,2017-12-20
2018-02-16,15760,14000,1500,M,
2018-02-19,16390,22000,500,M,
2018-02-20,15660,16000,1500,M,
2018-02-22,19840,20000,500,M,
2018-02-23,23510,21500,1500,M,
2018-02-26,15570,15500,1000,M,
2018-02-27,24510,17500,2000,F,
2018-02-28,17730,16000,1000,M,
2018-03-01,18160,16500,500,M,
2018-03-02,12220,11500,2000,M,2018-01-15
2018-03-05,14990,16000,1000,F,
2018-03-07,21240,20500,2500,M,
2018-03-09,16090,13000,1000,F,
2018-03-12,9990,9300,2000,F,
2018-03-14,16200,19000,1500,M,
2018-03-15,16800,15500,1000,F,2017-12-18
2018-03-19,16360,14000,1000,F,
2018-03-20,19830,18000,500,F,
2018-03-21,24560,23000,1000,M,
2018-03-22,15470,14000,2000,M,2018-01-05
2018-03-29,16520,15000,500,F,
2018-03-30,12300,11500,1500,F,
2018-04-02,16690,18000,2000,M,
2018-04-04,24060,22000,500,M,
2018-04-05,22630,23000,1000,F,
2018-04-09,17280,18000,2000,F,
2018-04-10,24050,22500,500,M,
2018-04-12,16950,21000,1500,F,
2018-04-13,9110,12000,2500,M,
2018-04-16,24310,19000,1500,M,
2018-04-17,9380,14500,1000,F,
2018-04-18,18950,14500,2000,M,
2018-04-19,17640,15000,500,M,
2018-04-20,16660,19000,1500,M,
2018-04-23,24580,24000,1000,F,
2018-04-24,15490,14000,2000,M,
2018-04-26,15790,16000,1500,M,
2018-04-27,15990,17500,1000,F,
2018-05-02,18520,20000,2000,M,
2018-05-03,16950,16750,500,F,
2018-05-04,19350,22000,1000,F,
2018-05-07,20530,21500,1000,M,
2018-05-11,22600,21000,2000,F,
2018-05-14,15990,15200,500,F,
2018-05-15,9510,8000,2000,F,
2018-05-16,15880,15000,500,F,
2018-05-21,25930,22500,2000,F,
2018-05-22,18510,18250,1500,M,
2018-05-23,18130,18500,1000,F,
2018-05-25,9150,10000,2000,F,
2018-05-29,15430,14500,500,M,
2018-05-30,17540,18000,2000,M,
2018-05-31,25540,23000,1500,F,
2018-06-01,14860,15000,500,F,
2018-06-05,23760,21500,1500,F,
2018-06-06,19050,17500,2000,M,
2018-06-11,19210,17500,1000,M,
2018-06-13,13070,12000,1500,M,
2018-06-14,17550,17000,500,F,
2018-06-20,9990,9000,1500,M,
2018-06-21,27090,21000,2000,M,
2018-06-27,16350,16000,500,M,
2018-06-28,16960,15500,2500,F,
2018-06-29,26510,25000,1000,M,
2018-07-03,20950,19500,1000,M,
2018-07-04,15100,14500,500,M,
2018-07-05,14990,14000,2000,F,
2018-07-09,14860,15500,500,M,
2018-07-12,17840,13500,1000,F,
2018-07-13,17580,19000,2000,M,
2018-07-16,24780,22500,1000,F,
2018-07-17,25050,21500,1500,M,
2018-07-19,15720,13700,1000,F,
2018-07-20,17850,18050,2000,M,
2018-07-23,9620,10500,2500,M,
2018-07-24,23580,19500,1000,M,
2018-07-26,17640,15000,500,M,2018-04-19
2018-07-27,24580,24000,1000,F,2018-04-23
2018-07-30,9380,14500,1000,F,2018-04-17
2018-07-31,18950,14500,2000,M,2018-04-18
2018-08-01,15490,14000,2000,M,2018-04-24
2018-08-02,15790,16000,1500,M,2018-04-26
2018-08-06,15990,15200,500,F,2018-05-14
2018-08-07,18130,18500,1000,F,2018-05-23
2018-08-09,14990,14000,2000,F,2018-07-05
2018-08-10,25540,23000,1500,F,2018-05-31
2018-08-13,22600,21000,2000,F,2018-05-11
2018-08-14,16880,18500,1000,M,
2018-08-15,18020,21000,500,M,
2018-08-16,27010,23500,1500,F,
2018-08-17,25010,20000,1000,F,
2018-08-20,15950,16500,500,M,
2018-08-21,9990,13000,2000,M,
2018-08-22,24660,19500,1000,M,
2018-08-23,18200,16000,1500,M,
2018-08-24,9960,11000,500,F,
2018-08-27,23020,18500,1500,F,
2018-08-28,16510,17000,500,M,
2018-08-29,25080,20000,1000,M,
2018-08-30,25020,18000,2000,F,
2018-08-31,18510,18250,1500,M,2018-05-22
2018-09-05,16230,18000,500,M,
2018-09-07,16440,16000,1500,F,
2018-09-11,12600,8500,1000,M,
2018-09-12,24080,20500,1500,M,
2018-09-13,16640,17500,500,M,
2018-09-14,26140,24500,2000,F,
2018-09-18,9800,11500,1500,M,
2018-09-19,27050,22000,2000,M,
2018-09-21,17310,16000,1500,F,
2018-09-25,16430,14000,500,F,
2018-09-26,9300,9500,1500,F,
2018-09-27,26100,18000,2000,F,
2018-09-28,18510,18000,1000,F,
2018-10-01,15450,15500,1000,M,
2018-10-02,23600,20000,500,F,
2018-10-03,22150,24500,500,F,
2018-10-04,9060,8000,1500,M,
2018-10-05,27010,22500,2000,M,
2018-10-08,17230,16000,1000,M,
2018-10-09,20720,17000,2000,F,
2018-10-10,20680,18000,1500,F,
2018-10-12,10420,12000,500,F,
2018-10-15,26100,19000,2000,F,
2018-10-16,20740,18900,2000,F,
2018-10-18,16930,17500,500,M,
2018-10-19,18330,21000,1000,M,
2018-10-22,26060,23500,1500,M,
2018-10-23,13050,10500,500,M,
2018-10-29,26100,19000,2000,F,2018-10-15
2018-10-30,24020,28000,500,F,
2018-10-31,21130,18000,1000,F,
2018-11-05,13010,9000,1500,M,
2018-11-06,18990,16500,500,F,
2018-11-07,15880,14500,2000,M,
2018-11-09,26660,22000,2000,F,
2018-11-13,9780,13000,2000,F,
2018-11-14,19490,17000,1500,F,
2018-11-15,18330,21000,1000,M,2018-10-19
2018-11-16,17690,17300,500,M,
2018-11-19,16410,14000,1000,F,
2018-11-21,21200,16000,1500,F,
2018-11-22,27010,22500,2000,M,2018-10-05
2018-11-23,18110,18000,500,F,
2018-11-26,25780,21000,1000,M,
2018-11-27,18200,19000,2000,M,
2018-12-03,22130,19000,2000,F,
2018-12-04,19090,17000,1500,F,
2018-12-24,8450,8000,500,F,
2018-12-31,12150,11500,1500,U,
2019-01-02,20590,24000,2000,M,
2019-01-03,19490,17000,1500,F,2018-11-14
2019-01-07,24560,19000,2000,F,
2019-01-08,22510,22000,500,F,
2019-01-09,17430,21000,1500,F,
2019-01-10,11440,9500,500,M,
2019-01-11,25010,24500,1000,F,
2019-01-14,23530,21000,1000,M,
2019-01-15,17770,18000,500,F,
2019-01-16,15360,18000,1500,F,
2019-01-17,12010,12500,2000,F,
2019-01-18,15460,15000,1500,M,
2019-01-21,16360,18300,1000,M,
2019-01-22,22730,20500,1500,F,
2019-01-24,15950,16000,500,F,
2019-01-25,9780,13000,2000,F,
2019-02-04,17990,17500,1500,M,
2019-02-07,15420,13500,1000,M,
2019-02-08,12840,13000,500,F,
2019-02-15,13010,12000,1500,F,
2019-02-18,14530,13000,1000,M,
2019-02-20,17240,16500,1000,M,
2019-02-21,13690,10000,500,F,
2019-02-26,23060,21000,500,M,
2019-02-27,13540,14500,1000,M,
2019-03-01,9800,12000,2000,F,
2019-03-04,15630,12000,500,F,
2019-03-06,17350,17000,1000,M,
2019-03-07,9300,12000,2000,M,
2019-03-08,24210,19000,1000,F,
2019-03-11,13010,7300,1500,M,
2019-03-12,16230,18000,500,F,
